Priority	Package Name	Version	Issue or Risk	Recommended Action

High	escape-string-regexp	1.0.5	Deprecated; no updates since 2015	Upgrade to v4.0.0+ or remove
High	pac-resolver	7.0.1	Prior CVEs in older versions; network attack vector	Confirm >=7.0.1 is used; monitor for updates
High	octonode	0.10.2	Unmaintained GitHub API client	Switch to @octokit/rest
High	jsbn	0.1.1	Legacy crypto lib, unmaintained	Replace with audited library like node-jose or built-in crypto
High	ecc-jsbn	0.1.2	Used for ECC; unmaintained and potentially insecure	Replace with modern cryptographic alternatives
High	esbuild-win32-ia32	0.19.2	Target-specific binary increases bloat	Prune unused platform targets
High	netlify-local-functions-proxy-linux-arm64	1.2.3	Architecture-specific, adds deploy complexity	Use dynamic install or remove if unused
High	rollup-rollup-linux-s390x-gnu	0.2.1	Unusual platform target for Rollup	Remove if not used by CI or release build

Medium	node-version-alias	1.0.4	Redundant if environment is pinned	Remove and use `.nvmrc` or runner config
Medium	all-node-versions	11.22.0	Overhead and audit complexity	Remove if unnecessary in controlled builds
Medium	normalize-node-version	3.1.0	Extra layer of version control logic	Remove and lock via package.json engines
Medium	@babel/plugin-transform-computed-properties	7.23.3	Modern Node doesn’t need many Babel transforms	Audit and remove unused Babel plugins
Medium	@babel/plugin-proposal-object-rest-spread	7.20.7	Potentially redundant	Prune if not needed for current syntax
Medium	ampproject-toolbox-optimizer	2.10.1	Duplicate versions possible	Ensure single consistent version across project

Low	(spdx metadata)	NOASSERTION	Limited metadata use in audits	Use actual registry URL for completeness
Low	multiple packages	-	MIT/Apache license strings used repeatedly	Use license-checker or FOSSA for compliance reports
Low	protobom	0.0.0+dirty	Experimental version of metadata generator	Update to stable version for audit integrity
